alim_grp_code;alim_grp_nom;alim_code;alim_nom;energie_kcal;eau_g_100g;prot_g_100g;gluc_g_100g;lipi_g_100g;sucr_g_100g;fibr_g_100g
05;lait et produits laitiers;12325;Cancoillotte (spécialité fromagère fondue);0;74,1;14,9;1;9,11;0,3;0
05;lait et produits laitiers;12340;Spécialité fromagère non affinée environ 20% MG, type fromage en barquette à tartiner ou coque fromagère;0;67,5;7,65;2;21,2;0;0
05;lait et produits laitiers;12355;Spécialité fromagère fondante au fromage blanc et aux noix;0;50,8;10,7;4,2;31,6;2,67;2
05;lait et produits laitiers;12356;Snack pour enfants à base de fromage fondu et de gressins;0;42,6;10,8;24,1;18,9;3,1;1,2
05;lait et produits laitiers;12500;Roquefort;359;43,8;19,6;0;30,9;0;0
05;lait et produits laitiers;12519;Fourme de Montbrison;367;42,8;22,5;0;30,8;0;0
05;lait et produits laitiers;12520;Fromage bleu au lait de vache;334;46,2;19,9;0;28,3;0,25;0
05;lait et produits laitiers;12521;Fromage bleu d'Auvergne;345;44,1;22,4;0;28,4;0;0
05;lait et produits laitiers;12522;Fourme d'Ambert;327;50;19,9;0;27,6;0;0
05;lait et produits laitiers;12523;Fromage bleu des Causses;352;45,2;20,4;0;30;0;0
05;lait et produits laitiers;12524;Gorgonzola;314;51,1;19;0;26,4;0,3;0
05;lait et produits laitiers;12526;Bleu de Gex ou Fromage bleu du Haut0jura ou Bleu de septmoncel (AOC);366;43,6;22,5;0;30,7;0;0
05;lait et produits laitiers;12527;Fromage bleu de Bresse;344;51,9;17,4;0;30,5;0;0
05;lait et produits laitiers;12528;Fromage bleu de Bresse allegé environ 15% MG;248;0;27,1;0;15,5;0;0
05;lait et produits laitiers;12705;Fromage à pâte ferme environ 14% MG type Masdaam à teneur réduite en MG;240;52,2;29;0;13,8;0;0
05;lait et produits laitiers;12716;Provolone;342;41;25,6;0;26,6;0;0
05;lait et produits laitiers;12722;Cantal entre0deux;373;40,6;26,5;0;29,7;0;0
05;lait et produits laitiers;12723;Cantal, Salers ou Laguiole;380;39,6;25,3;0;31;0,5;0
05;lait et produits laitiers;12725;Salers;390;38,6;25,9;0;31,4;0,2;0
05;lait et produits laitiers;12726;Cheddar;401;37,1;24;0;33,8;0;0
05;lait et produits laitiers;12729;Edam;331;41,6;25,5;0;25,5;0,25;0
05;lait et produits laitiers;12735;Mimolette jeune;333;40,1;28,9;0;24,2;0;0
05;lait et produits laitiers;12736;Gouda;376;38,4;23,2;0;31,5;0,25;0
05;lait et produits laitiers;12737;Mimolette demi0vieille;368;34,3;31,5;0;26,9;0;0
05;lait et produits laitiers;12738;Mimolette vieille;400;30;34;0;28,8;0,2;0
05;lait et produits laitiers;12740;Mimolette, sans précision;310;45,5;24,9;0;23,4;0,25;0
05;lait et produits laitiers;12741;Fromage à pâte ferme environ 27% MG type Maasdam;345;41,5;26,3;0;26,6;0;0
05;lait et produits laitiers;12742;Mimolette extra0vieille;389;31;33,9;0;28,2;0;0
05;lait et produits laitiers;12743;Morbier;355;43,6;22,5;0;29,5;0;0
05;lait et produits laitiers;12747;Fromage de brebis des Pyrénées;399;36,9;24,1;0;33,6;0;0
05;lait et produits laitiers;12748;Saint0Nectaire, laitier;334;0;22,8;0;27;0,5;0
05;lait et produits laitiers;12749;Raclette (fromage);347;44;24,6;0;27,6;0;0
05;lait et produits laitiers;12751;Saint0Nectaire, fermier;357;0;22,3;0;29,8;0,5;0
05;lait et produits laitiers;12752;Saint0Nectaire, sans précision;346;44,6;22,5;0;28,4;0,5;0
05;lait et produits laitiers;12755;Saint0Paulin (fromage à pâte pressée non cuite demi0ferme);301;46,3;22,2;0;23,6;0,25;0
05;lait et produits laitiers;12758;Tomme ou tome de vache;358;41,8;23,9;0;29,2;0,25;0
05;lait et produits laitiers;12759;Tomme ou tome de montagne ou de Savoie;366;41,6;25,6;0;29,1;0,2;0
05;lait et produits laitiers;12760;Tomme ou tome, allégée en matière grasse, environ 13% MG;233;51;31;0;12,1;0;0
05;lait et produits laitiers;12761;Asiago;359;0;32,1;0;25,6;0;0
05;lait et produits laitiers;12762;Fromage de brebis Corse à pâte molle;460;28,7;28,5;0;38,4;0;0
05;lait et produits laitiers;12763;Tome des Bauges;383;39,5;26,6;0;30,8;0;0
05;lait et produits laitiers;12800;Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche);0;60;16,1;2,08;20;2,08;0
05;lait et produits laitiers;12801;Fromage de chèvre lactique affiné, au lait cru (type Crottin de Chavignol, Picodon, Rocamadour, Sainte0Maure de Touraine);326;49,7;20,7;0;27;0;0
05;lait et produits laitiers;12802;Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin);302;52,8;19,8;0;24,7;0;0
05;lait et produits laitiers;12803;Fromage de chèvre lactique affiné (type bûchette, crottin, Sainte0Maure);317;50,3;20,4;0;26,2;0;0
05;lait et produits laitiers;12804;Fromage de chèvre frais, au lait cru (type palet ou crottin frais);0;65,6;13,1;2,03;16,9;2,03;0
05;lait et produits laitiers;12805;Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche);0;62,8;14,6;2,05;18,4;2,05;0
05;lait et produits laitiers;12807;Sainte0Maure de Touraine (fromage de chèvre);296;53,4;19,6;0;24,2;0;0
05;lait et produits laitiers;12810;Fromage de chèvre demi0sec;355;45,5;21,6;0;29,8;0;0
05;lait et produits laitiers;12812;Fromage de chèvre bûche;294;52,2;19,3;0;24,1;0;0
05;lait et produits laitiers;12813;Fromage de chèvre bûche, allégé en matière grasse;180;60,5;22,6;0;10;0;0
05;lait et produits laitiers;12814;Fromage de chèvre à pâte molle non pressée non cuite croûte naturelle, au lait pasteurisé;281;54,7;19,3;0;22,6;0;0
05;lait et produits laitiers;12815;Fromage de chèvre sec;442;29;30,5;0;35,6;0;0
05;lait et produits laitiers;12819;Fromage de chèvre à tartiner, nature;0;72,9;10,8;2,41;12,2;2,41;0
05;lait et produits laitiers;12820;Fromage de chèvre à pâte molle et croûte fleurie type camembert;294;51,7;19,9;0;23,8;0;0
05;lait et produits laitiers;12824;Fromage de brebis à pâte molle et croûte fleurie;277;55,6;16,8;0;23,3;0;0
05;lait et produits laitiers;12827;Fromage de brebis à pâte pressée;386;38;23,9;0;32,3;0;0
05;lait et produits laitiers;12828;Fromage de lactosérum de brebis;173;68,7;10,1;0;14,8;0;0
05;lait et produits laitiers;12830;Chabichou (fromage de chèvre);296;50,4;20,5;0;23,8;0;0
05;lait et produits laitiers;12831;Pélardon (fromage de chèvre);345;43,6;23,8;0;27,8;0;0
05;lait et produits laitiers;12832;Crottin de chèvre, au lait cru;386;41,4;23,2;0;32,6;0;0
05;lait et produits laitiers;12833;Crottin de chèvre, sans précision;342;0;22,4;0;28;0;0
05;lait et produits laitiers;12834;Crottin de Chavignol (fromage de chèvre);298;50,8;19,7;0;24,4;0;0
05;lait et produits laitiers;12836;Picodon (fromage de chèvre);317;49,4;20,7;0;26;0;0
05;lait et produits laitiers;12839;Pouligny Saint0Pierre (fromage de chèvre);296;52,7;18,9;0;24,5;0;0
05;lait et produits laitiers;12842;Sainte0Maure (fromage de chèvre);359;42,9;22,1;0;30;0;0
05;lait et produits laitiers;12845;Selles0sur0Cher (fromage de chèvre);292;53,1;19,2;0;23,9;0;0
05;lait et produits laitiers;12846;Chevrot (fromage de chèvre);279;55,4;18,5;0;22,8;0;0
05;lait et produits laitiers;12847;Rocamadour (fromage de chèvre);280;57,3;18,6;0;22,9;0,14;0
05;lait et produits laitiers;12848;Valençay (fromage de chèvre);307;51,8;19,3;0;25,5;0;0
05;;12999;Fromage (aliment moyen);350;45,5;22,2;0,41;27,6;0,34;0
02;fruits, légumes, légumineuses et oléagineux;13000;Abricot, dénoyauté, cru;42,6;87,6;1,01;7,14;0,35;6,57;1,8
02;fruits, légumes, légumineuses et oléagineux;13001;Abricot, dénoyauté, sec;0;26,2;1,86;39,8;0,51;36,6;5,7
02;fruits, légumes, légumineuses et oléagineux;13002;Ananas, pulpe, cru;53,2;85,9;0,52;11;0,24;10,4;1,33
02;fruits, légumes, légumineuses et oléagineux;13004;Avocat, pulpe, cru;155;75,7;1,61;3,67;13,8;1;4
02;fruits, légumes, légumineuses et oléagineux;13005;Banane, pulpe, crue;90;75,8;0,98;19,6;0,25;14,8;1,9
02;fruits, légumes, légumineuses et oléagineux;13007;Cassis, cru;64,6;80,5;1,33;8,03;0,86;8,03;5,8
02;fruits, légumes, légumineuses et oléagineux;13008;Cerise, dénoyautée, crue;59,6;83,8;1,16;11,6;0,25;11,6;1,7
02;fruits, légumes, légumineuses et oléagineux;13009;Citron, pulpe, cru;39,1;89;0,84;3,1;0,7;2,85;1,2
02;fruits, légumes, légumineuses et oléagineux;13010;Coing, cru;0;83,5;0,48;13,4;0,1;6,3;1,9
02;fruits, légumes, légumineuses et oléagineux;13011;Datte, pulpe et peau, sèche;287;22,9;1,81;64,7;0,25;64,7;7,3
02;fruits, légumes, légumineuses et oléagineux;13012;Figue, crue;0;79,8;0,85;14,3;0,3;14,3;2,63
02;fruits, légumes, légumineuses et oléagineux;13013;Figue, sèche;256;30,1;2,99;53,7;0,87;48,7;9,72
02;fruits, légumes, légumineuses et oléagineux;13014;Fraise, crue;34,9;90,1;0,65;6,14;0,18;4,73;1,5
02;fruits, légumes, légumineuses et oléagineux;13015;Framboise, crue;43,7;85,5;1,28;4,26;0,36;4,26;5,99
02;fruits, légumes, légumineuses et oléagineux;13016;Fruit de la passion ou maracudja, pulpe et pépins, cru;84,4;72,9;2,3;9,39;0,7;9,39;10,4
02;fruits, légumes, légumineuses et oléagineux;13018;Grenade, pulpe et pépins, crue;75,9;80;1,29;14,2;0,74;13,7;2,3
02;fruits, légumes, légumineuses et oléagineux;13019;Groseille, crue;56,1;83,9;1,33;6,64;0,95;6,64;4,25
02;fruits, légumes, légumineuses et oléagineux;13020;Groseille à maquereau, crue;40,1;87,9;0,8;4,83;0,59;0;4,03
02;fruits, légumes, légumineuses et oléagineux;13021;Kiwi, pulpe et graines, cru;58,5;83,6;1,2;8,44;0,95;7,89;3,5
02;fruits, légumes, légumineuses et oléagineux;13023;Litchi, pulpe, cru;0;81,8;0,76;15,2;0,42;15,2;1,3
02;fruits, légumes, légumineuses et oléagineux;13025;Mangue, pulpe, crue;64,4;83;0,62;13,7;0,31;11;1,7
02;fruits, légumes, légumineuses et oléagineux;13026;Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru;33;90,9;0,73;6,57;0,2;6,43;0,93
02;fruits, légumes, légumineuses et oléagineux;13028;Myrtille, crue;57,7;84,2;0,87;10,6;0,33;9,96;2,4
02;fruits, légumes, légumineuses et oléagineux;13029;Mûre (de ronce), crue;41,1;87,7;1,32;4,2;0,75;4,2;4,8
02;fruits, légumes, légumineuses et oléagineux;13030;Nectarine ou brugnon, pulpe et peau, crue;0;87,6;1,16;8,9;0,31;7,89;1,7
10;aides culinaires et ingrédients divers;13032;Olive noire, en saumure;0;74,9;1,38;0,1;17,2;0;6,2
10;aides culinaires et ingrédients divers;13033;Olive verte, en saumure;0;77,6;1,25;0,38;14,8;0,33;5,2
02;fruits, légumes, légumineuses et oléagineux;13034;Orange, pulpe, crue;47,1;86,9;1,1;7,92;0,36;7,92;2,2
02;fruits, légumes, légumineuses et oléagineux;13035;Papaye, pulpe, crue;0;87,8;0,58;9,9;0,28;7,46;1,9
02;fruits, légumes, légumineuses et oléagineux;13036;Pastèque, pulpe, crue;34,9;90,9;0,62;7,38;0,13;6,9;0,45
02;fruits, légumes, légumineuses et oléagineux;13037;Poire, pulpe et peau, crue;0;83,5;0,49;10,9;0,27;9,01;2,9
02;fruits, légumes, légumineuses et oléagineux;13038;Compote de pomme;102;72,9;0,23;24,4;0,21;20,7;1,53
02;fruits, légumes, légumineuses et oléagineux;13039;Pomme, pulpe et peau, crue;0;85,4;0,25;11,6;0,25;9,35;1,4
02;fruits, légumes, légumineuses et oléagineux;13040;Pomelo (dit Pamplemousse), pulpe, cru;36,6;89,8;0,63;6,34;0,2;5,99;1,25
02;fruits, légumes, légumineuses et oléagineux;13041;Prune Reine0Claude, crue;0;81,8;0,81;10,9;0,1;9,6;2,28
02;fruits, légumes, légumineuses et oléagineux;13042;Pruneau, sec;0;24,3;2,82;55,7;0,63;38,1;7,35
02;fruits, légumes, légumineuses et oléagineux;13043;Pêche, pulpe et peau, crue;0;88,6;1,08;9;0,33;8,16;1,6
02;fruits, légumes, légumineuses et oléagineux;13044;Raisin blanc, à gros grain (type Italia ou Dattier), cru;73,4;80,9;0,75;16,6;0,5;15,5;1
02;fruits, légumes, légumineuses et oléagineux;13045;Raisin noir, cru;0;84;0,6;15,6;0,4;15;1,4
02;fruits, légumes, légumineuses et oléagineux;13046;Raisin, sec;283;17,4;2,09;62,4;0,49;60,6;3,6
02;fruits, légumes, légumineuses et oléagineux;13047;Rhubarbe, tige, crue;21,7;92;0,78;1,47;0,23;1,47;2,47
02;fruits, légumes, légumineuses et oléagineux;13048;Rhubarbe, tige, cuite, sucrée;0;67,4;0,38;29,2;0,05;28,7;2
02;fruits, légumes, légumineuses et oléagineux;13050;Pomme, pulpe, crue;0;86,7;0,27;10,7;0,13;10,1;1,3
02;fruits, légumes, légumineuses et oléagineux;13054;Carambole, pulpe, crue;0;91,3;1,15;3,9;0,32;3,9;2,8
02;fruits, légumes, légumineuses et oléagineux;13063;Figue de Barbarie, pulpe et graines, crue;0;87,3;0,51;6;0,31;1,02;4,45
02;fruits, légumes, légumineuses et oléagineux;13066;Kaki, pulpe, cru;0;81;0,5;14,3;0,5;14,3;3,7
02;fruits, légumes, légumineuses et oléagineux;13067;Citron vert ou Lime, pulpe, cru;32,8;89,1;0,66;2,02;0,2;1,69;2,8
02;fruits, légumes, légumineuses et oléagineux;13071;Mûre noire (du mûrier), crue;0;87,7;1,44;8,1;0,39;8,1;1,7
02;fruits, légumes, légumineuses et oléagineux;13079;Tamarin, fruit immature, pulpe, cru;0;31,4;2,65;57,4;0,6;38,8;5,1
02;fruits, légumes, légumineuses et oléagineux;13082;Clémentine, pulpe, crue;0;86,6;0,8;11,9;0,19;9,18;1,7
02;fruits, légumes, légumineuses et oléagineux;13083;Goyave, pulpe, crue;54,9;83,5;1,59;7,26;0,73;7,18;5,15
02;fruits, légumes, légumineuses et oléagineux;13085;Pomme Canada, pulpe, crue;0;84,4;0,4;11,6;0,1;11;1,6
02;fruits, légumes, légumineuses et oléagineux;13089;Banane, pulpe, sèche;0;3;3,89;78,4;1,81;47,3;9,9
02;fruits, légumes, légumineuses et oléagineux;13090;Mandarine, pulpe, crue;0;86,3;0,72;9,7;0,31;9,7;1,5
02;fruits, légumes, légumineuses et oléagineux;13100;Prune, crue;0;87;0,66;8,83;0,29;8,83;1,5
02;fruits, légumes, légumineuses et oléagineux;13107;Poire, pulpe, crue;0;85,1;0,3;10,4;0,1;10,4;2,47
02;fruits, légumes, légumineuses et oléagineux;13108;Compote, tout type de fruits;0;71,6;0,51;24,8;0,23;23,2;1,71
02;fruits, légumes, légumineuses et oléagineux;13109;Compote, tout type de fruits, allégée en sucres;0;80;0;16;0,069;14;2
02;fruits, légumes, légumineuses et oléagineux;13110;Griotte, crue;0;86,1;1,1;10,5;0,3;10,5;1,65
02;fruits, légumes, légumineuses et oléagineux;13111;Pomme, sèche;0;31,8;0,78;57,2;0,31;54,6;8,7
02;fruits, légumes, légumineuses et oléagineux;13112;Raisin, cru;0;80,5;0,72;15,7;0,16;15,5;0,9
02;fruits, légumes, légumineuses et oléagineux;13113;Canneberge ou cranberry, crue;0;86,8;0,75;7,6;0,13;4,04;5,13
02;fruits, légumes, légumineuses et oléagineux;13118;Pêche, sèche;0;7,5;5;68,9;1;0;14,3
02;fruits, légumes, légumineuses et oléagineux;13125;Citron, zeste, cru;0;81,6;1,42;5,4;0,3;4,17;10,6
02;fruits, légumes, légumineuses et oléagineux;13126;Sureau, baie, crue;0;79,8;0,64;11,4;0,5;0;7
02;fruits, légumes, légumineuses et oléagineux;13129;Compote, tout type de fruits, allégée en sucres, rayon frais;0;83,9;0,32;14,9;0,48;14,3;1,4
10;aides culinaires et ingrédients divers;13131;Olive noire, à l'huile (à la grecque);332;45,7;2,19;0,1;33,3;0;11,6
02;fruits, légumes, légumineuses et oléagineux;13132;Myrtille, surgelée, crue;0;84,3;0,68;8,9;0,43;8,9;2,81
02;fruits, légumes, légumineuses et oléagineux;13134;Salade de fruits, crue;0;77,9;0,58;13,7;0,22;13,1;1,28
02;fruits, légumes, légumineuses et oléagineux;13136;Framboise, surgelée, crue;0;85,9;1,16;6,43;0,8;6,03;6,05
10;aides culinaires et ingrédients divers;13147;Olives vertes, fourrées ou farcies (anchois, poivrons, etc.);0;75;2,09;0,61;15,2;0,4;4,33
02;fruits, légumes, légumineuses et oléagineux;13150;Mûre (de ronce), surgelée, crue;0;82,2;1,22;10,7;0,42;0;5
02;fruits, légumes, légumineuses et oléagineux;13152;Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres desserts de fruits compotes allégée);0;79,4;0,32;19,5;0,2;16,6;1,61
02;fruits, légumes, légumineuses et oléagineux;13153;"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""";0;85,1;0,43;12,8;0,34;11,6;1,68
11;aliments infantiles;13157;Petit pot fruit avec banane pour bébé;0;84;0,6;12,4;0,5;12;2,3
11;aliments infantiles;13158;Petit pot fruit sans banane pour bébé;0;85,8;0,29;11,9;0,5;10,2;2,07
11;aliments infantiles;13159;Boisson aux fruits pour bébé dès 4/6mois;0;90,2;0,5;9,5;0,5;8,23;0,5
11;aliments infantiles;13160;Boisson à base de plantes pour bébé;0;94,2;0,5;5,8;0,5;4,97;0,5
11;aliments infantiles;13161;Boisson infantile céréales lactées aux légumes pour dîner dès 4/6 mois;82,3;82,2;2,14;11,6;2,83;3,71;0,9
11;aliments infantiles;13162;Boisson infantile céréales lactées aux fruits pour le goûter dès 4/6 mois;67,8;85,8;1,75;7,7;3;6,8;1,5
11;aliments infantiles;13163;Boisson infantile céréales lactées pour le petit déjeuner dès 4/6 mois;86,9;81,2;2,58;12,2;2,9;4,66;0,95
11;aliments infantiles;13164;Dessert lacté infantile type crème dessert;91,8;79,4;3,2;13,6;2,6;8;0,6
11;aliments infantiles;13165;Dessert lacté infantile au riz ou à la semoule;95,4;79,3;3,43;12,6;3,1;9,4;1,7
11;aliments infantiles;13166;Dessert lacté infantile nature sucré ou aux fruits;96;78,8;3,2;13,9;2,9;9,99;0,82
11;aliments infantiles;13167;Céréales instantanées, poudre à reconstituer, dès 4/6 mois;393;2,2;5,1;88,3;1,7;12,7;1,8
11;aliments infantiles;13168;Céréales instantanées, poudre à reconstituer, dès 6 mois;391;1,8;10;81,1;2;32,8;4,3
11;aliments infantiles;13169;Boisson infantile céréales lactées pour le petit déjeuner dès 8/9 mois;84,6;81,7;2,26;12,6;2,68;4,52;0,53
11;aliments infantiles;13170;Boisson infantile céréales lactées pour le petit déjeuner dès 12 mois;86,5;81;2,23;12,6;2,78;4,7;1,1
11;aliments infantiles;13173;Boisson infantile céréales lactées pour le petit déjeuner;85,6;81,6;1,9;12,7;2,89;4,7;0,6
02;fruits, légumes, légumineuses et oléagineux;13175;Pomme, pulpe, rôtie/cuite au four;0;75,6;0,5;21;0,5;17,5;3
02;fruits, légumes, légumineuses et oléagineux;13176;Pomme, pulpe, bouillie/cuite à l'eau;0;85,5;0,26;11,2;0,36;11;2,4
02;fruits, légumes, légumineuses et oléagineux;13179;Pomelo (dit Pamplemousse) jaune, pulpe, cru;0;90,5;0,69;7,31;0,1;7,31;1,1
02;fruits, légumes, légumineuses et oléagineux;13180;Pomelo (dit Pamplemousse) rose, pulpe, cru;0;88,1;0,77;6,2;0,14;6,2;1,6
11;aliments infantiles;13182;Boisson infantile céréales lactées (aliment moyen);86,5;81;2,25;12,6;2,78;4,69;1,07
02;fruits, légumes, légumineuses et oléagineux;13549;Kumquat, sans pépin, cru;0;81,9;1,57;9,6;1,18;9,36;5,45
02;fruits, légumes, légumineuses et oléagineux;13614;Pamplemousse chinois, pulpe, cru;0;89,1;0,76;8,62;0,04;0;1
02;fruits, légumes, légumineuses et oléagineux;13620;Pomme Golden, pulpe et peau, crue;53,5;85,5;0,5;11,2;0,5;11,2;2,6
02;fruits, légumes, légumineuses et oléagineux;13706;Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté;0;80,4;0,5;17,4;0,5;13,8;2,1
02;fruits, légumes, légumineuses et oléagineux;13707;Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté;0;79,9;0,5;18,3;0,5;14,3;1,26
02;fruits, légumes, légumineuses et oléagineux;13708;Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté;0;83,5;0,5;14,4;0,5;12,2;1,9
02;fruits, légumes, légumineuses et oléagineux;13709;Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté;0;84;0,5;14,5;0,061;12,3;1,18
02;fruits, légumes, légumineuses et oléagineux;13712;Abricot au sirop léger, appertisé, égoutté;0;83;0,94;13,7;0,5;13,3;1,4
02;fruits, légumes, légumineuses et oléagineux;13713;Abricot au sirop léger, appertisé, non égoutté;0;83,5;0,81;14;0,043;14;0,83
02;fruits, légumes, légumineuses et oléagineux;13714;Abricot au sirop, appertisé, égoutté;0;81;0,5;16,2;0,5;15,3;1,4
02;fruits, légumes, légumineuses et oléagineux;13715;Abricot au sirop, appertisé, non égoutté;0;81,4;0,29;16,6;0,5;15,1;0,81
02;fruits, légumes, légumineuses et oléagineux;13716;Ananas au sirop et jus d'ananas, appertisé, égoutté;0;84,5;0,5;13,6;0,5;12,8;1,4
02;fruits, légumes, légumineuses et oléagineux;13717;Ananas au sirop et jus d'ananas, appertisé, non égoutté;0;84,9;0,5;13,6;0,5;12,6;0,92
02;fruits, légumes, légumineuses et oléagineux;13718;Ananas au sirop léger, appertisé, égoutté;0;82;0,5;15,9;0,5;15,9;1,6
02;fruits, légumes, légumineuses et oléagineux;13719;Ananas au sirop léger, appertisé, non égoutté;0;82,4;0,5;16;0,078;15,7;1,01
02;fruits, légumes, légumineuses et oléagineux;13730;Pêche au sirop léger, appertisée, égouttée;0;83,9;0,5;13,8;0,5;13,1;1,5
02;fruits, légumes, légumineuses et oléagineux;13731;Pêche au sirop léger, appertisée, non égouttée;0;84,3;0,31;14,1;0,038;12,9;0,92
02;fruits, légumes, légumineuses et oléagineux;13735;Poire au sirop léger, appertisée, non égouttée;0;83,7;0,3;14,5;0,12;12,1;1,23
02;fruits, légumes, légumineuses et oléagineux;13742;Melon miel ou melon honeydew, pulpe, cru;0;91,9;0,58;4,3;0,17;4,3;0,75
02;fruits, légumes, légumineuses et oléagineux;13997;Fruits rouges, crus (framboises, fraises, groseilles, cassis);0;85,1;1,11;7,7;0,38;6,97;5,16
04;viandes, œufs, poissons;14000;Chevreuil, rôti/cuit au four;150;65,2;30,2;0;3,19;0;0
04;viandes, œufs, poissons;14002;Sanglier, cru;147;70;20,7;0;7,13;0;0
04;viandes, œufs, poissons;14003;Sanglier, rôti/cuit au four;153;63,9;28,3;0;4,38;0;0
04;viandes, œufs, poissons;14004;Lièvre, viande crue;111;73,3;21,6;0;2,67;0;0
04;viandes, œufs, poissons;14005;Chevreuil, cru;110;0;23;0;2;0;0
04;viandes, œufs, poissons;14006;Cerf, cru;113;73,6;23,7;0;2,04;0;0
04;viandes, œufs, poissons;14007;Cerf, rôti/cuit au four;150;65,2;30,2;0;3,19;0;0
04;viandes, œufs, poissons;14008;Gibier à poil, cuit (aliment moyen);152;64,4;29,6;0;3,72;0;0
02;fruits, légumes, légumineuses et oléagineux;15000;Amande (avec peau);617;4,58;21,1;7,85;53,4;4,4;10,2
02;fruits, légumes, légumineuses et oléagineux;15001;Cacahuète ou Arachide;610;2,2;22,8;14,8;49,1;5,9;8,6
02;fruits, légumes, légumineuses et oléagineux;15002;Cacahuète, grillée, salée;617;1,22;22,9;15;50;4,22;8,04
02;fruits, légumes, légumineuses et oléagineux;15004;Noisette;670;4,46;13,9;6,99;63;4,34;9,7
02;fruits, légumes, légumineuses et oléagineux;15005;Noix, séchée, cerneaux;700;4;13,3;6,88;67,3;3;6,7
02;fruits, légumes, légumineuses et oléagineux;15006;Noix de coco, amande mûre, fraîche;362;45,8;3,6;7,15;33,5;6,23;9
02;fruits, légumes, légumineuses et oléagineux;15007;Noix de coco, amande, sèche;685;2,63;6,62;8,56;66,3;6,64;14
02;fruits, légumes, légumineuses et oléagineux;15008;Noix du Brésil;694;2,76;14,8;5,28;66,7;2,33;6,4
02;fruits, légumes, légumineuses et oléagineux;15009;Pistache, grillée, salée;603;2,09;18,9;15,9;49,5;7,57;9,32
02;fruits, légumes, légumineuses et oléagineux;15010;Sésame, graine;587;3,48;17,6;9,81;49,7;0,3;14,9
02;fruits, légumes, légumineuses et oléagineux;15011;Tournesol, graine;637;3,38;21,3;10,1;55,5;2,62;6,4
02;fruits, légumes, légumineuses et oléagineux;15013;Crème de marrons;266;33,3;1,28;63;0,67;0;1,3
02;fruits, légumes, légumineuses et oléagineux;15014;Noix de coco, amande immature, fraîche;358;47;3,33;6,22;33,5;6,22;9
02;fruits, légumes, légumineuses et oléagineux;15016;Crème de marrons vanillée, appertisée;257;34,6;0,96;60,2;0,7;43,2;3,2
02;fruits, légumes, légumineuses et oléagineux;15018;Mélange apéritif de graines salées et raisins secs;548;5,3;16,6;27,1;39,6;21,6;8,4
02;fruits, légumes, légumineuses et oléagineux;15019;Noix de cajou, grillée, salée;621;1,51;15,2;26,7;49,5;8,01;3,85
02;fruits, légumes, légumineuses et oléagineux;15020;Châtaigne, bouillie/cuite à l'eau;138;64,1;2,01;27;1,38;0;4,5
02;fruits, légumes, légumineuses et oléagineux;15021;Châtaigne, grillée;234;40,5;3,17;47,8;2,2;10,3;5,1
02;fruits, légumes, légumineuses et oléagineux;15023;Noix, fraîche;692;2,8;14,3;11,3;64,3;0;5,6
02;fruits, légumes, légumineuses et oléagineux;15024;Châtaigne, crue;188;51;1,81;36,5;2,23;7,86;7,45
02;fruits, légumes, légumineuses et oléagineux;15025;Pignon de pin;685;2,45;13,7;6,31;65;5,21;10
02;fruits, légumes, légumineuses et oléagineux;15026;Noix de pécan;729;2,73;9,57;5,27;72,6;3,64;8,33
02;fruits, légumes, légumineuses et oléagineux;15027;Noix de macadamia;735;1,45;7,14;8,35;72,9;4,57;8,6
02;fruits, légumes, légumineuses et oléagineux;15028;Cucurbitacées, graine;593;5,23;30,2;4,71;49,1;1,4;6
02;fruits, légumes, légumineuses et oléagineux;15029;Luzerne, graine germée;26,8;92,8;3,28;0,91;0,7;0,2;1,9
02;fruits, légumes, légumineuses et oléagineux;15032;Luzerne, graine;405;7,4;29,7;39,3;12,6;0;7,9
02;fruits, légumes, légumineuses et oléagineux;15033;Noisette grillée;691;2,52;14,4;5,21;66;4,26;9,4
02;fruits, légumes, légumineuses et oléagineux;15034;Lin, graine;491;5,93;20,2;6,6;36,6;1,55;27,3
02;fruits, légumes, légumineuses et oléagineux;15035;Sésame, graine décortiquée;631;3,58;21,1;4,5;56,1;0,48;11,9
02;fruits, légumes, légumineuses et oléagineux;15037;Cacahuète, grillée;618;1,71;22,8;13,9;50,5;3,13;8,35
02;fruits, légumes, légumineuses et oléagineux;15038;Sésame, grillé, graine décortiquée;570;5;17;9,14;48;0,48;16,9
02;fruits, légumes, légumineuses et oléagineux;15039;Châtaigne ou Marron, appertisé;144;62,7;1,96;28,8;1,4;3,9;4
02;fruits, légumes, légumineuses et oléagineux;15041;Amande, mondée, émondée ou blanchie;613;4,51;21,4;8,76;52,5;4,63;9,9
